output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
thickness_km,128,main,H_rad_pW_kg,-0.012840695084607827,0.02131577755077189,0.009177966379995812,0.009808604484271935,,,
thickness_km,128,main,f_porosity,0.0022203308426707335,0.004929320188159716,0.0005168422883551958,0.0007551249544951854,,,
thickness_km,256,main,q_basal_target_mW_m2,0.8990805288727218,0.14585372705027513,0.918061596457139,0.13171949309283904,,,
thickness_km,256,main,d_grain_mm,0.03253294652896401,0.03757284557549201,0.04891921081805106,0.013058401428002428,,,
thickness_km,256,main,epsilon_0,-5.2552670403243906e-05,0.019256969866184113,0.0145041356135882,0.005898929609622057,,,
thickness_km,256,main,T_surf_K,-0.002949181888832365,0.006840005457123857,0.001766991356854275,0.0008455611603629694,,,
thickness_km,256,main,D_H2O_km,-0.00132428933178665,0.0042983715370662175,0.0009360959686934147,0.0005272869082089548,,,
thickness_km,256,main,mu_ice_GPa,-0.003217161380469509,0.006084422297671134,0.001329171502098224,0.0007275844330356708,,,
thickness_km,256,main,Q_v_kJ_mol,0.03810041300512164,0.04082583559830891,0.04285534684919237,0.010680216582955928,,,
thickness_km,256,main,Q_b_kJ_mol,-0.0006623163333804868,0.0019402113289331327,0.00013234998506303814,0.00022237274253707952,,,
thickness_km,256,main,H_rad_pW_kg,-0.012687546553495768,0.013555820272757677,0.007461146231647992,0.005269589857721087,,,
thickness_km,256,main,f_porosity,-0.0002792170967634405,0.0035366346335703883,0.0006093782026058685,0.0005114846995803786,,,
thickness_km,512,main,q_basal_target_mW_m2,0.9075628178840741,0.10102290713483106,0.9258433889470719,0.09015932677887273,,,
thickness_km,512,main,d_grain_mm,0.03607556667059318,0.026206695786909914,0.04393799643844912,0.008441918799447494,,,
thickness_km,512,main,epsilon_0,0.006349986717240157,0.013864772860863139,0.020182050308106023,0.011534237042741995,,,
thickness_km,512,main,T_surf_K,-0.0024969580157716852,0.004712738271759781,0.001697898963278586,0.0005359043415031379,,,
thickness_km,512,main,D_H2O_km,-0.0012330934208647675,0.0033059977518558716,0.0008112141310657547,0.00031827181698174784,,,
thickness_km,512,main,mu_ice_GPa,-0.0017650750450624857,0.004333869081706291,0.0012279170195638874,0.0004605298822737166,,,
thickness_km,512,main,Q_v_kJ_mol,0.03612848128871796,0.029469549776202555,0.046006298652160625,0.008877009209782964,,,
thickness_km,512,main,Q_b_kJ_mol,-0.0002655871720925443,0.0010026556295946775,9.651121842641924e-05,0.00012851936070796445,,,
thickness_km,512,main,H_rad_pW_kg,-0.0022671113841602167,0.010603553022477938,0.007594922095295612,0.0033314186456288846,,,
thickness_km,512,main,f_porosity,-0.002040447933593427,0.0025891200722846213,0.0005616956534341532,0.00033317472425353637,,,
D_cond_km,128,main,q_basal_target_mW_m2,0.06966630851601514,0.08056647647664174,0.22434351244420098,0.14615658643803017,,,
D_cond_km,128,main,d_grain_mm,0.4516236118197028,0.20478848335259617,0.6885882401017969,0.2979759605681269,,,
D_cond_km,128,main,epsilon_0,0.019775906476111535,0.031629437845771116,0.023077293829922595,0.013550531650823507,,,
D_cond_km,128,main,T_surf_K,0.013504794054330442,0.019852366934058834,0.011213888381214725,0.007729926884681232,,,
D_cond_km,128,main,D_H2O_km,0.007289288498745908,0.011157589806056092,0.001890920006385081,0.002417686730094297,,,
D_cond_km,128,main,mu_ice_GPa,0.007028302329465704,0.018112148235144857,0.00513848065823436,0.004796402949384468,,,
D_cond_km,128,main,Q_v_kJ_mol,0.43573383174079006,0.1848713942763172,0.7321410332057443,0.4827943791582381,,,
D_cond_km,128,main,Q_b_kJ_mol,-0.001583379651055783,0.0025021774043213294,9.89078645901502e-05,0.0001822858700242617,,,
D_cond_km,128,main,H_rad_pW_kg,0.0013324839398523272,0.010101165826379155,0.003126522919278818,0.0031272021641823764,,,
D_cond_km,128,main,f_porosity,-0.005761270729199461,0.005863353214501212,0.0016917214058440849,0.0022881622775019895,,,
D_cond_km,256,main,q_basal_target_mW_m2,0.08563224904583884,0.0770738329357258,0.22305249877822336,0.10086924947215735,,,
D_cond_km,256,main,d_grain_mm,0.35822906443901287,0.12337472571791612,0.6387562719720582,0.1924571468879991,,,
D_cond_km,256,main,epsilon_0,0.0056819310238383275,0.02319038268534276,0.030442094188004337,0.014319727749088114,,,
D_cond_km,256,main,T_surf_K,-0.0006175917801596701,0.014772765559674795,0.009116578740199825,0.004315743950258287,,,
D_cond_km,256,main,D_H2O_km,0.002609282513630904,0.005828924869023511,0.0014713611770409553,0.001296180768977311,,,
D_cond_km,256,main,mu_ice_GPa,0.001447114350506737,0.009633525279096182,0.0036157247485460275,0.0024687610884402337,,,
D_cond_km,256,main,Q_v_kJ_mol,0.4001785507094251,0.16583175863589267,0.6417923672013907,0.23471557160291853,,,
D_cond_km,256,main,Q_b_kJ_mol,-0.0018805002318852846,0.0023030170153037393,0.0003452494060314013,0.0005948898233893558,,,
D_cond_km,256,main,H_rad_pW_kg,-0.0018464144429402242,0.006850427397943401,0.002736365682117706,0.001593980920520465,,,
D_cond_km,256,main,f_porosity,-0.0032925051783889727,0.004833230917800403,0.001836916287258597,0.001443670033274245,,,
D_cond_km,512,main,q_basal_target_mW_m2,0.08275980945662677,0.06098168979143295,0.21465238721114868,0.06351025843208034,,,
D_cond_km,512,main,d_grain_mm,0.32916363800712806,0.08383147712801256,0.5511015475629072,0.13001977559282132,,,
D_cond_km,512,main,epsilon_0,0.010369815203945764,0.020244404761814768,0.05973792112673886,0.036854416887660175,,,
D_cond_km,512,main,T_surf_K,-0.0009796854907467446,0.010236069369069936,0.008520007397388405,0.0025622283253704053,,,
D_cond_km,512,main,D_H2O_km,-0.00037692384763675943,0.003557156580840581,0.0014996281585569183,0.0009657156152826767,,,
D_cond_km,512,main,mu_ice_GPa,0.002251315058536963,0.008373440176900424,0.00524128117667611,0.003367708451361743,,,
D_cond_km,512,main,Q_v_kJ_mol,0.3908394764894029,0.12382876296102512,0.6148020160178178,0.14228462126506772,,,
D_cond_km,512,main,Q_b_kJ_mol,-0.0016274324691586642,0.001644015589120252,0.0002636429276563576,0.00033782100575845386,,,
D_cond_km,512,main,H_rad_pW_kg,-0.0023290482705465394,0.00473961139930638,0.004202732129533056,0.002677904518524413,,,
D_cond_km,512,main,f_porosity,-0.0024629880911451185,0.003863254423202279,0.0030001074411439284,0.002685786506244667,,,
D_conv_km,128,main,q_basal_target_mW_m2,0.8617114281728987,0.2157235443017687,0.9399090332594175,0.17814454941890553,,,
D_conv_km,128,main,d_grain_mm,0.016591923375402596,0.07527750909355405,0.12853299878991178,0.07711181035946484,,,
D_conv_km,128,main,epsilon_0,-0.006815980401483054,0.01417819349984522,0.0038023537337173218,0.003157900235715688,,,
D_conv_km,128,main,T_surf_K,0.0006394905508152246,0.008033451804383937,0.001988748635890628,0.0018877443960505615,,,
D_conv_km,128,main,D_H2O_km,-0.001784521574233596,0.004368081204682772,0.0005148337576516831,0.0005276828832895621,,,
D_conv_km,128,main,mu_ice_GPa,0.001256303613599644,0.005573519937415925,0.0007225575398595876,0.0007101502604500183,,,
D_conv_km,128,main,Q_v_kJ_mol,0.08397613003552284,0.07178764241363524,0.15362204175341324,0.10756975997893174,,,
D_conv_km,128,main,Q_b_kJ_mol,3.271731363760475e-05,0.00015715354850350145,2.032464897194247e-06,3.4667424682074465e-06,,,
D_conv_km,128,main,H_rad_pW_kg,-0.01659932766044085,0.017540301941151273,0.006627604502062888,0.0070370215465464705,,,
