scenario,obs_model,parameter,unit,prior_median,prior_68_lo,prior_68_hi,posterior_median,posterior_68_lo,posterior_68_hi,posterior_95_lo,posterior_95_hi,shrinkage,ess,k_hat,k_diagnostic
depleted_strong,pure_water,Q_v,kJ/mol,59.3767,56.3652,62.4141,60.1133,57.5376,62.6619,54.9025,64.9373,0.1529,9929.9,0.450,good
depleted_strong,pure_water,d_grain,mm,0.5874,0.2661,1.2568,0.7210,0.3608,1.3644,0.1788,2.3416,-0.0129,9929.9,0.450,good
depleted_strong,pure_water,q_basal,mW/m$^2$,11.1343,7.5743,14.8890,10.7956,7.4183,14.7328,5.6331,16.5473,0.0000,9929.9,0.450,good
depleted_strong,pure_water,epsilon_0,$\times 10^{-5}$,0.6004,0.3799,0.9377,0.5780,0.3700,0.8929,0.2513,1.3824,0.0626,9929.9,0.450,good
depleted_strong,pure_water,T_surf,K,109.8179,104.9459,114.6318,109.6630,104.8096,114.4605,100.2248,118.2364,0.0036,9929.9,0.450,good
depleted_strong,pure_water,D_cond,km,15.62,,,21.53,13.01,31.42,,,0.2009,9929.9,0.450,good
depleted_strong,low_salinity,Q_v,kJ/mol,59.3767,56.3652,62.4141,59.6142,56.9448,62.2052,54.3254,64.4859,0.1304,11817.2,0.450,good
depleted_strong,low_salinity,d_grain,mm,0.5874,0.2661,1.2568,0.6311,0.3114,1.2213,0.1533,2.1843,0.0816,11817.2,0.450,good
depleted_strong,low_salinity,q_basal,mW/m$^2$,11.1343,7.5743,14.8890,10.8813,7.4811,14.7119,5.6927,16.5153,0.0115,11817.2,0.450,good
depleted_strong,low_salinity,epsilon_0,$\times 10^{-5}$,0.6004,0.3799,0.9377,0.5919,0.3748,0.9160,0.2549,1.4155,0.0297,11817.2,0.450,good
depleted_strong,low_salinity,T_surf,K,109.8179,104.9459,114.6318,109.7680,104.8990,114.5853,100.2535,118.2854,-0.0000,11817.2,0.450,good
depleted_strong,low_salinity,D_cond,km,15.62,,,18.10,10.86,27.13,,,0.2939,11817.2,0.450,good
strong,pure_water,Q_v,kJ/mol,59.3784,56.3655,62.4169,60.1818,57.5376,62.9104,54.9302,65.3521,0.1121,10793.2,0.450,good
strong,pure_water,d_grain,mm,0.5875,0.2661,1.2574,0.7345,0.3629,1.4228,0.1838,2.4272,-0.0692,10793.2,0.450,good
