output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
convective_flag,256,main,epsilon_0,0.04969667556418346,0.0862067424365971,0.2153522607781283,0.07829499532531227,,,
convective_flag,256,main,T_surf_K,-0.006233654183180998,0.011988478902983024,0.008282779260697242,0.015929328369361524,,,
convective_flag,256,main,D_H2O_km,0.0,0.0,0.0,0.0,,,
convective_flag,256,main,mu_ice_GPa,-0.03313111704278897,0.044628791256871886,0.04969667556418346,0.03922159498095967,,,
convective_flag,256,main,Q_v_kJ_mol,0.23797891558143924,0.11156812843198607,0.4058561837741649,0.10334223809224474,,,
convective_flag,256,main,Q_b_kJ_mol,0.0,0.0,0.0,0.0,,,
convective_flag,256,main,H_rad_pW_kg,0.0,0.0,0.0,0.0,,,
convective_flag,256,main,f_porosity,0.004098250155032489,0.023546168087018093,0.016565558521394484,0.02249214344664086,,,
convective_flag,512,main,q_basal_target_mW_m2,0.2753184770949586,0.09634951801616876,0.6787750232003184,0.08479377277290638,,,
convective_flag,512,main,d_grain_mm,0.15759343400865342,0.08021669645744288,0.44017531807535787,0.07517527659349,,,
convective_flag,512,main,epsilon_0,0.031014104989976653,0.05354069365428111,0.1810066728534182,0.05001633587248499,,,
convective_flag,512,main,T_surf_K,0.0018961991651902832,0.014472420087225395,0.01645515207758347,0.016354044792191522,,,
convective_flag,512,main,D_H2O_km,0.0,0.0,0.0,0.0,,,
convective_flag,512,main,mu_ice_GPa,-0.024682728116375206,0.025773933867230057,0.03291030415516694,0.023244374515704866,,,
convective_flag,512,main,Q_v_kJ_mol,0.16201254223261383,0.07496621492726346,0.4442891060947538,0.07670896327024312,,,
convective_flag,512,main,Q_b_kJ_mol,0.0,0.0,0.0,0.0,,,
convective_flag,512,main,H_rad_pW_kg,0.0,0.0,0.0,0.0,,,
convective_flag,512,main,f_porosity,-0.001269489271610443,0.01349165002201861,0.012341364058187603,0.013917078892451033,,,
thickness_km,128,main,q_basal_target_mW_m2,0.7629138971340751,0.19569801823825442,0.8938063977999945,0.20424156882564712,,,
thickness_km,128,main,d_grain_mm,0.05617735873987333,0.0849894883085737,0.09121916886727695,0.03660441972961965,,,
thickness_km,128,main,epsilon_0,0.12033207238420153,0.08902571556468279,0.12172184063555633,0.05300273999384096,,,
thickness_km,128,main,T_surf_K,0.005360167122880103,0.0175932744745447,0.004396832702568193,0.003545794570150043,,,
thickness_km,128,main,D_H2O_km,-0.0007673891230164469,0.0028393341127899456,0.0002844424001877513,0.00030161292057282206,,,
thickness_km,128,main,mu_ice_GPa,-0.0202929217070108,0.02111432885026542,0.00561296958542992,0.004160092316516887,,,
thickness_km,128,main,Q_v_kJ_mol,0.027206825433014992,0.06999121193696975,0.06585313712216133,0.027395350341164186,,,
thickness_km,128,main,Q_b_kJ_mol,-0.00022069573857936287,0.0004483832037927005,0.0001454723195337288,0.000285932790946477,,,
thickness_km,128,main,H_rad_pW_kg,-0.0030791523994404065,0.01521104229106797,0.008125326414876394,0.011885504138458092,,,
thickness_km,128,main,f_porosity,0.0008528484484119383,0.004755018207188449,0.00041819183684196036,0.0006759535988320931,,,
thickness_km,256,main,q_basal_target_mW_m2,0.7344801580509601,0.13999797683060475,0.8310463468837914,0.13703489600934643,,,
thickness_km,256,main,d_grain_mm,0.0347904779386649,0.048237121487815705,0.0733394923815036,0.02002865458539105,,,
thickness_km,256,main,epsilon_0,0.10156985612285291,0.06281868133277049,0.1579459736524645,0.04802918978507553,,,
thickness_km,256,main,T_surf_K,0.0026618145399585438,0.00990077798766234,0.0034461802287664178,0.0019800563718170615,,,
thickness_km,256,main,D_H2O_km,-0.0008702584208752845,0.0029103049116232967,0.0004235728184392598,0.0002585374669145698,,,
thickness_km,256,main,mu_ice_GPa,-0.006544445120339389,0.013519341212568401,0.005006674202217108,0.0027189195424704416,,,
