q_basal,d_grain,Q_v,epsilon_0,T_surf
2.255643e+01,-6.767253e-02,-3.089422e-01,1.077774e-01,-3.015975e-01
-6.767253e-02,1.088631e-01,9.578875e-03,2.788938e-03,1.845340e-02
-3.089422e-01,9.578875e-03,8.766123e+00,7.342976e-03,1.525056e-01
1.077774e-01,2.788938e-03,7.342976e-03,3.529399e-02,-1.395080e-02
-3.015975e-01,1.845340e-02,1.525056e-01,-1.395080e-02,2.351423e+01
