q_basal,d_grain,Q_v,epsilon_0,T_surf
2.617745e+01,-2.768367e-02,-2.152163e-01,3.750514e-02,-1.819492e-01
-2.768367e-02,1.177209e-01,2.208204e-03,4.401872e-04,1.984145e-02
-2.152163e-01,2.208204e-03,9.220483e+00,1.303724e-02,-9.175584e-02
3.750514e-02,4.401872e-04,1.303724e-02,1.682253e-02,-1.051429e-02
-1.819492e-01,1.984145e-02,-9.175584e-02,-1.051429e-02,1.054150e+01
