q_basal,d_grain,Q_v,epsilon_0,T_surf
2.838455e+01,-6.517571e-02,-5.150989e-01,2.085267e-01,1.520497e-01
-6.517571e-02,1.180910e-01,1.253895e-02,3.710522e-03,-9.980926e-03
-5.150989e-01,1.253895e-02,9.237594e+00,2.882148e-02,-1.901168e-01
2.085267e-01,3.710522e-03,2.882148e-02,6.451806e-02,-2.085153e-02
1.520497e-01,-9.980926e-03,-1.901168e-01,-2.085153e-02,4.570235e+01
