q_basal,d_grain,Q_v,epsilon_0,T_surf
1.0000,-0.0283,-0.0307,0.1784,-0.0044
-0.0283,1.0000,-0.0039,0.0556,0.0099
-0.0307,-0.0039,1.0000,0.0408,-0.0067
0.1784,0.0556,0.0408,1.0000,-0.0091
-0.0044,0.0099,-0.0067,-0.0091,1.0000
