q_basal,d_grain,Q_v,epsilon_0,T_surf
1.0000,-0.0180,-0.0046,0.0311,-0.0061
-0.0180,1.0000,0.0007,0.0166,0.0353
-0.0046,0.0007,1.0000,0.0312,-0.0042
0.0311,0.0166,0.0312,1.0000,-0.0305
-0.0061,0.0353,-0.0042,-0.0305,1.0000
