output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
thickness_km,128,main,H_rad_pW_kg,-0.008183949503726275,0.018920340940999175,0.0075769280946832674,0.010322845840813989,,,
thickness_km,128,main,f_porosity,-0.000740582166104566,0.0020920363801210625,0.00014130043112138893,0.000163767954605054,,,
thickness_km,256,main,q_basal_target_mW_m2,0.892511950823782,0.14092382868405548,0.9066960597771525,0.12992279326421874,,,
thickness_km,256,main,d_grain_mm,0.03578094346668152,0.038065058014403415,0.05388335461351021,0.013708306131683157,,,
thickness_km,256,main,epsilon_0,0.008091350638442681,0.021430212691553343,0.018200863081101387,0.0070760527182030415,,,
thickness_km,256,main,T_surf_K,-0.003024156690620291,0.0072234023622017255,0.0019990380334681634,0.0011866188667876987,,,
thickness_km,256,main,D_H2O_km,-0.0010429707071166374,0.002730693149902185,0.000451308261274435,0.0002832706734547214,,,
thickness_km,256,main,mu_ice_GPa,-0.0014895036531702233,0.0061778389654175885,0.001355937463620006,0.0007649682437639584,,,
thickness_km,256,main,Q_v_kJ_mol,0.040492699171759336,0.0430033253205693,0.04612596866377538,0.011906280347313286,,,
thickness_km,256,main,Q_b_kJ_mol,-0.00015141498679762687,0.0003062615931327651,3.8413561687544866e-06,4.5124621786173805e-06,,,
thickness_km,256,main,H_rad_pW_kg,-0.007767144374402352,0.011630695818182463,0.006210689197087204,0.005586393665976447,,,
thickness_km,256,main,f_porosity,0.0005034049520381661,0.0029456349578371047,0.0002664639212026837,0.00027474340310901403,,,
thickness_km,512,main,q_basal_target_mW_m2,0.9067702827509897,0.09779264595168961,0.9170787510331386,0.090155219195979,,,
thickness_km,512,main,d_grain_mm,0.03870762199764421,0.02715712621694868,0.04731540232471504,0.00907588977945927,,,
thickness_km,512,main,epsilon_0,0.013560210631380578,0.015461265984135946,0.024238125498842585,0.012870833965408907,,,
thickness_km,512,main,T_surf_K,-0.0011744389340346566,0.005362806422473387,0.002072726509815636,0.0007207952157251653,,,
thickness_km,512,main,D_H2O_km,-0.0005634467362956217,0.0025106961586041626,0.000371013659419279,0.00018749458971765502,,,
thickness_km,512,main,mu_ice_GPa,-0.00021037001642035112,0.003972818821902744,0.0012134770435203535,0.00044935718524748933,,,
thickness_km,512,main,Q_v_kJ_mol,0.03839091299186006,0.029726377256815987,0.04817061900348601,0.009281742176589622,,,
thickness_km,512,main,Q_b_kJ_mol,-0.000547152957566129,0.0011978659159050786,9.060766874697469e-05,0.00012239642685393966,,,
thickness_km,512,main,H_rad_pW_kg,-3.857271571628435e-05,0.00924302315215929,0.0064395494191712786,0.0035935621537233823,,,
thickness_km,512,main,f_porosity,-0.0007366759372182463,0.0021226222512225174,0.0002798952992482888,0.00018861827999503347,,,
D_cond_km,128,main,q_basal_target_mW_m2,0.03864235812074224,0.0709052567081685,0.1566272490852925,0.10192192882993614,,,
D_cond_km,128,main,d_grain_mm,0.46777142262627003,0.2100076808326168,0.6615441538461582,0.27372987977378194,,,
D_cond_km,128,main,epsilon_0,0.031551409473161776,0.03398011814284551,0.026850060441202885,0.014646507076822865,,,
D_cond_km,128,main,T_surf_K,0.003513481050801454,0.018817954635679663,0.008788207742714453,0.005350169955977225,,,
D_cond_km,128,main,D_H2O_km,0.00014170633549849939,0.000629988350532379,2.3384385986953847e-05,2.7241157906897e-05,,,
D_cond_km,128,main,mu_ice_GPa,0.011792666567316116,0.01949098108498202,0.0077380869766366794,0.006785282983744578,,,
D_cond_km,128,main,Q_v_kJ_mol,0.45762596654786325,0.2049363787411226,0.7231703111372175,0.43055238459547845,,,
D_cond_km,128,main,Q_b_kJ_mol,-0.0003924654549142537,0.0007066282755505323,1.2298935728910299e-05,1.6245942592064807e-05,,,
D_cond_km,128,main,H_rad_pW_kg,-0.0002863818215853144,0.001282912946472361,0.0005640547075655834,0.0010554751833827976,,,
D_cond_km,128,main,f_porosity,-0.007802248087773266,0.00664923438319386,0.0007591951745143683,0.0005475813338905371,,,
D_cond_km,256,main,q_basal_target_mW_m2,0.062235121016363824,0.05895977349481244,0.151890780392662,0.06911814770561477,,,
D_cond_km,256,main,d_grain_mm,0.37630089223313395,0.1229019289280549,0.6107507328653998,0.18012150843831262,,,
D_cond_km,256,main,epsilon_0,0.01882641435394674,0.026856563946965607,0.034654450748768655,0.01527875969556903,,,
D_cond_km,256,main,T_surf_K,0.0005061992103552415,0.015316086174575487,0.00954404272563792,0.004566460811407117,,,
D_cond_km,256,main,D_H2O_km,-0.00011121970684085326,0.0008620685350045367,6.157390034113895e-05,4.546927030375828e-05,,,
D_cond_km,256,main,mu_ice_GPa,0.0046696331183048185,0.009843863088423584,0.0047255235844098865,0.0032200108205699884,,,
D_cond_km,256,main,Q_v_kJ_mol,0.44812528780262756,0.1692836058946106,0.6329048905230368,0.2117726518509697,,,
D_cond_km,256,main,Q_b_kJ_mol,-0.0002569864341443361,0.00038752322160954167,1.1769668901196738e-05,1.155034180307962e-05,,,
D_cond_km,256,main,H_rad_pW_kg,0.00026853539773461486,0.0020393164139937783,0.0006542501022040599,0.0006351493081761598,,,
D_cond_km,256,main,f_porosity,0.0021960479978815135,0.010343828875332771,0.0009101322340216791,0.0006552109398440572,,,
D_cond_km,512,main,q_basal_target_mW_m2,0.05530285026562169,0.044264174741306894,0.1442094426580089,0.044017390482787994,,,
D_cond_km,512,main,d_grain_mm,0.35116674155666694,0.08364740483071265,0.5261898094285896,0.11985412536842893,,,
D_cond_km,512,main,epsilon_0,0.02094714094639728,0.020361208866606053,0.061038368363677285,0.035201598673262134,,,
D_cond_km,512,main,T_surf_K,0.005101765962804717,0.012314905435198255,0.009892339785104766,0.003309531428267925,,,
D_cond_km,512,main,D_H2O_km,-0.00023670425143290479,0.001107300635375007,5.772169500642195e-05,3.749031123643814e-05,,,
D_cond_km,512,main,mu_ice_GPa,0.004794044009410889,0.0073148191262667845,0.003757295439939862,0.0017788167695828915,,,
D_cond_km,512,main,Q_v_kJ_mol,0.41919665069198664,0.12290321702774103,0.6152111018452423,0.1333895980067472,,,
D_cond_km,512,main,Q_b_kJ_mol,-0.00023870136885381852,0.002132383282967488,0.00036204958291761904,0.0005203890825296259,,,
